"","W","R","X","Y"
"1",2.96108840246822,5.37727610367648,1,-0.807169835512912
"2",0.0341316798292137,-2.40858853861552,1,8.34193360810876
"3",0.596091217087982,5.41034692300382,1,10.1041344928555
"4",4.65951527604253e-57,2.32641675844015,1,-1.50749150056371
"5",3.00939571515625e-34,-1.3493565408471,0,-3.00489631061971
"6",2.11263700378392,-1.68375328635232,1,4.98294697444889
"7",0.00481350527710106,-5.68755576531434,1,5.14143323330263
"8",2.74290673536554e-09,-1.52379568410677,1,6.07136652022257
"9",8.28594761089203e-17,1.55069437346738,1,5.8436274153564
"10",1.49256175536911e-32,8.91473802743426,1,2.96305991279343
"11",1.48798910832337e-117,3.12791779004486,1,7.01689113483741
"12",4.93751215294836e-23,7.93926179348903,1,1.729811148546
"13",6.66730151919279e-64,-7.49372632226692,1,-2.78244141443341
"14",1.34126177554719e-20,5.07098586449456,1,2.63887601566726
"15",4.33747557928324e-05,-2.28304400896962,1,4.37613609779125
"16",0.180296699792305,-5.13418039874708,1,9.93923416233412
"17",2.51064455830692e-55,-3.32029444255766,1,6.61792210659003
"18",1.32323990129181e-08,2.26412527560316,1,9.36843345896447
"19",4.14897701905639e-36,0.0239226490336129,1,-8.83102178732498
"20",2.99303233704488e-22,-2.44730997741466,1,11.8125311463843
"21",3.76716498537558e-28,5.22534875112605,1,1.14456714597305
"22",3.99417410665628e-59,-14.8720099939815,1,5.46615641706063
"23",1.486405816329e-06,-4.50825229489544,1,4.17349316854967
"24",5.11006440545495e-13,0.497352022836491,1,-2.73168553201312
"25",6.59308580032214e-49,1.14801662893764,0,4.45469634383696
"26",1.00807040430835e-60,-3.37966369895763,1,7.83981111011546
"27",2.35244270213932e-40,2.10099160663582,1,0.959383670939655
"28",0.00117853753957155,-2.56705627975556,1,2.25579120355364
"29",1.16661199019634e-07,10.7095052975429,1,3.10060110866322
"30",4.7169085173858e-06,-2.15665516889415,1,6.42537148915721
"31",1.80253114703652e-15,0.598572413695301,1,-0.976886769849861
