"","EGFR","IGFR","SOS","Ras","PI3K","AKT","Raf","Mek","Erk"
"1",34.1141997522404,3.74062120645912,70,59,64,56,45,88,90
"2",36.1224228313646,5.76298728919553,70,61,71,60,41,85,92
"3",37.7763646487238,4.19654645967196,70,60,67,59,42,78,90
"4",33.5436043422546,4.62061608319755,70,56,74,57,44,85,89
"5",37.5873484788591,3.6335057145531,70,58,69,63,46,81,88
"6",37.0903718338049,8.51929906496364,70,53,70,62,31,80,94
"7",37.2562531948368,3.78685150297713,70,56,76,56,42,83,84
"8",40.3498306381458,5.19435731729777,70,62,69,57,38,80,88
"9",33.343427753266,5.09436563717606,70,65,67,58,33,74,85
"10",40.8021061662697,4.12150858139209,70,65,75,56,40,83,87
"11",34.7656552115946,5.26043585875587,70,61,65,68,45,82,90
"12",33.6063442874928,5.65770706287792,70,53,72,61,36,85,96
"13",34.8509245299011,5.76579652951508,70,54,72,57,39,80,90
"14",37.7579571089386,2.76463937389283,70,61,71,55,46,81,90
"15",37.4561371199668,4.09717388309551,70,67,66,54,36,73,90
"16",36.0770307109647,4.83361616516863,70,52,69,59,32,80,82
"17",34.1409480072756,4.93450058330792,70,59,66,54,39,84,87
"18",35.0552715656546,4.49436197902405,70,58,75,55,40,82,88
"19",40.6729408728418,5.52028671466516,70,53,67,48,40,75,89
"20",37.5994348239489,5.03570148307485,70,66,75,63,35,81,92
"21",35.2645488344201,4.08931043599267,70,55,65,51,44,84,85
"22",34.1730977995674,5.91434312401487,70,47,60,52,35,75,91
"23",36.388815461014,4.66329087913471,70,55,64,53,34,73,88
"24",32.0005754799095,5.09476285674635,70,52,76,60,41,78,88
"25",35.546634672547,7.12722071638833,70,62,68,55,38,78,94
"26",34.7767820178352,5.19658447849081,70,60,68,54,44,83,89
"27",40.481847337724,4.03239526044624,70,56,71,51,45,80,88
"28",40.0362013748027,4.71510275515667,70,56,74,53,39,76,91
"29",36.7837645777403,5.16444599702611,70,67,73,53,43,76,91
"30",33.589653105702,3.88812918947566,70,62,61,54,42,83,85
"31",39.701874186948,3.07063518074356,70,50,64,61,31,85,93
"32",39.5553113412767,4.52973914330559,70,54,60,60,41,83,93
"33",39.1831455224634,5.53438783396373,70,56,64,57,43,86,87
"34",39.2095064370658,4.07895005729154,70,61,65,59,41,74,87
"35",35.9436111491629,5.68437435262515,70,57,61,54,38,72,88
"36",39.1165465404565,6.52207877011107,70,53,78,63,36,79,90
"37",40.9010739661962,5.19461330493679,70,51,65,65,38,80,92
"38",37.1147560424328,6.69722471750842,70,58,61,60,37,82,88
"39",34.0621486900112,5.27806818621747,70,55,71,54,39,81,92
"40",39.3812836926176,4.42898953715151,70,60,73,62,38,79,88
"41",39.3595206160283,4.84212056000918,70,60,67,46,59,83,86
"42",36.0686106071221,7.48833935348953,70,55,69,67,38,78,91
"43",42.0966545366773,6.07136909403715,70,58,68,57,32,76,83
"44",34.6162188743522,5.34221907654354,70,60,73,56,48,79,91
"45",38.0453131485401,5.22132742664584,70,55,66,57,41,77,89
"46",30.2037967794467,5.06836274206002,70,62,63,60,52,81,86
"47",36.5133841629153,5.30742160241049,70,64,62,51,45,80,91
"48",40.3925949743767,6.50863386351864,70,60,70,68,41,76,89
"49",35.6333620712186,5.61584223910021,70,54,70,54,42,77,90
"50",34.3025010533834,5.08981201808659,70,53,71,64,35,77,84
"51",39.1805167051937,2.60154726978127,70,53,64,54,36,80,84
"52",34.5716772944043,5.04780729079569,70,55,65,54,40,77,86
"53",37.8012553478657,5.33614335502992,70,63,64,60,44,82,86
"54",31.7882088683992,5.43484573603129,70,52,60,62,41,74,90
"55",32.7657245925734,5.21102362899904,70,62,67,55,40,74,94
"56",35.6393463196645,5.11079348900923,70,51,69,54,37,79,91
"57",33.8935261738958,3.00667708930412,70,60,70,62,37,74,87
"58",41.0864286797779,6.50501570513764,70,65,67,55,49,84,86
"59",39.7523702109251,5.35415711884795,70,58,65,50,41,87,86
"60",34.6445735167695,5.4348377802028,70,60,68,55,41,83,91
"61",38.7205545194418,5.76824391482073,70,64,75,61,43,77,88
"62",39.7545886232133,5.40968836865135,70,61,67,56,39,85,88
"63",37.7688618189572,3.02334839898712,70,50,62,57,49,79,88
"64",38.0558996678127,3.91242063653471,70,67,68,58,49,78,92
